FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
0,-9.537293,0,30.241894,0,777.790222
0,-8.993257,0,30.251348,0,777.832886
0,-8.459884,0,30.250864,0,777.852966
0,-7.937055,0,30.24136,0,777.852539
0,-7.424666,0,30.223719,0,777.833374
0,-6.922601,0,30.198772,0,777.797241
0,-6.430703,0,30.167316,0,777.746155
0,-5.948761,0,30.130096,0,777.68158
0,-5.476509,0,30.087822,0,777.605469
0,-5.013649,0,30.041161,0,777.519104
0,-4.559881,0,29.990738,0,777.424255
0,-4.114941,0,29.937136,0,777.322449
0,-3.678607,0,29.880896,0,777.215027
0,-3.250697,0,29.822538,0,777.103333
0,-2.831036,0,29.76255,0,776.988525
0,-2.419431,0,29.70141,0,776.871887
0,-2.015653,0,29.639565,0,776.754517
0,-1.61943,0,29.577427,0,776.637512
0,-1.230457,0,29.515396,0,776.521973
0,-0.848421,0,29.453835,0,776.408936
0,-0.473032,0,29.393078,0,776.299255
0,-0.104049,0,29.33341,0,776.19397
0,0.258722,0,29.275093,0,776.093811
0,0.615449,0,29.218369,0,775.999512
0,0.966304,0,29.163471,0,775.911621
0,1.311497,0,29.110619,0,775.830994
0,1.651278,0,29.060003,0,775.758057
0,1.985942,0,29.011814,0,775.69342
0,2.315798,0,28.966209,0,775.637634
0,2.641143,0,28.923336,0,775.591187
0,2.962226,0,28.88331,0,775.554443
0,3.279238,0,28.846216,0,775.527954
0,3.59233,0,28.812115,0,775.511841
0,3.901644,0,28.781075,0,775.506409
0,4.20735,0,28.753147,0,775.511902
0,4.509662,0,28.728388,0,775.528564
0,4.808836,0,28.706831,0,775.556458
0,5.105154,0,28.688511,0,775.595947
0,5.39888,0,28.673447,0,775.647095
0,5.690236,0,28.661648,0,775.710083
0,5.979377,0,28.653103,0,775.784912
0,6.266414,0,28.647778,0,775.871582
0,6.551438,0,28.645643,0,775.970032
0,6.834563,0,28.64665,0,776.080322
0,7.115939,0,28.650761,0,776.202332
0,7.395761,0,28.65794,0,776.335938
0,7.674252,0,28.668154,0,776.48114
0,7.951629,0,28.681366,0,776.638
3.718362,8.228071,0.309238,28.697529,0.03121,776.806152
3.232859,8.503699,0.314589,28.716572,0.21261,776.985596
2.768484,8.778585,0.320059,28.738422,0.387482,777.176025
2.324851,9.052777,0.325622,28.762991,0.55582,777.377319
1.901554,9.326326,0.331252,28.790173,0.717611,777.589111
1.498165,9.599325,0.336922,28.819874,0.872815,777.811218
1.11423,9.871902,0.34261,28.851994,1.021372,778.043457
0.749275,10.144227,0.3483,28.886435,1.163217,778.285583
0.402809,10.41647,0.353979,28.923105,1.298303,778.537354
0.074329,10.688777,0.359641,28.961912,1.426621,778.798523
-0.236671,10.961245,0.365277,29.002762,1.548209,779.068848
-0.530692,11.233916,0.370876,29.045553,1.663136,779.348022
-0.808225,11.506803,0.376426,29.090187,1.771478,779.635559
-1.069754,11.779902,0.381911,29.136557,1.873299,779.931274
-1.31576,12.053244,0.387317,29.184551,1.968635,780.23468
-1.546731,12.326893,0.392626,29.234064,2.057497,780.545532
-1.763169,12.600958,0.397819,29.284977,2.139892,780.863464
-1.965593,12.875559,0.402881,29.337168,2.215843,781.188293
-2.154529,13.150803,0.4078,29.390512,2.285411,781.519531
-2.330492,13.42675,0.412565,29.444887,2.348692,781.856934
-2.49398,13.703408,0.417165,29.500183,2.405811,782.200012
-2.645457,13.980736,0.421589,29.556293,2.456895,782.548401
-2.785362,14.258675,0.425824,29.613121,2.502057,782.901733
-2.914116,14.537184,0.429863,29.670588,2.541382,783.259583
-3.032141,14.816264,0.433696,29.728624,2.574933,783.621704
-3.139867,15.095965,0.437314,29.787165,2.602762,783.987732
-3.237741,15.376361,0.440702,29.846134,2.624935,784.357117
-3.32622,15.657529,0.443845,29.905439,2.641545,784.729736
-3.405747,15.939503,0.446728,29.964985,2.65272,785.105042
-3.476734,16.222269,0.449338,30.024666,2.658612,785.482788
-3.539551,16.505783,0.451668,30.084373,2.659381,785.862244
