iter	Logloss
0	0.68453721
1	0.6763308751
2	0.6666904232
3	0.659537842
4	0.6504218728
5	0.6435777594
6	0.6324495913
7	0.6268795851
8	0.620056817
9	0.6154195365
10	0.6089099223
11	0.6046867498
12	0.6009976323
13	0.596451307
14	0.59250332
15	0.58874144
16	0.5849483437
17	0.5816219643
18	0.5780885066
19	0.5728579146
20	0.5685279137
21	0.5653569949
22	0.562108498
23	0.5582975585
24	0.55363823
25	0.5512230932
26	0.5483026505
27	0.5458249031
28	0.5441606331
29	0.5424011288
30	0.5406701356
31	0.5386148352
32	0.5363245789
33	0.5336862434
34	0.5315054011
35	0.5289913154
36	0.5267696588
37	0.5248429391
38	0.5225387814
39	0.5207168474
40	0.5187443973
41	0.5168596585
42	0.5152814517
43	0.5126752461
44	0.5106989665
45	0.508405558
46	0.5068942758
47	0.5036414228
48	0.5020776807
49	0.5009137095
50	0.4990280946
51	0.4962549003
52	0.4939257848
53	0.4917192787
54	0.4899755641
55	0.4879110076
56	0.4863658434
57	0.4855112976
58	0.4836938087
59	0.4812791343
60	0.479319032
61	0.4775984256
62	0.4746483189
63	0.4732687176
64	0.472205563
65	0.4700688207
66	0.4690551925
67	0.4678954294
68	0.4664308175
69	0.464657877
70	0.4634159388
71	0.4614865348
72	0.4602719054
73	0.4590241105
74	0.4578266312
75	0.456650544
76	0.4551642447
77	0.4537565842
78	0.4521711294
79	0.4489845267
80	0.4464294886
81	0.4452727857
82	0.4438089817
83	0.4423973568
84	0.44097353
85	0.4396733159
86	0.4379584207
87	0.4370733458
88	0.435312576
89	0.4343884257
90	0.4335346144
91	0.4323682045
92	0.4315955752
93	0.4294700836
94	0.4283460856
95	0.4270939819
96	0.4256076568
97	0.4234069338
98	0.4221792725
99	0.4211541501
100	0.4201639618
101	0.419186878
102	0.4181116663
103	0.4171185649
104	0.4164289801
105	0.4145377676
106	0.4134826734
107	0.4116167065
108	0.4095983932
109	0.4084314956
110	0.4074047298
111	0.4064517251
112	0.4051099673
113	0.4042938644
114	0.4033350457
115	0.4026854959
116	0.4015384449
117	0.4007135501
118	0.3998432429
119	0.3983518258
120	0.3970069042
121	0.3961437953
122	0.3952093302
123	0.3941388022
124	0.3925601867
125	0.391201302
126	0.3904042616
127	0.3897184926
128	0.3888163611
129	0.3879627304
130	0.3871464518
131	0.3857723328
132	0.3850337681
133	0.3843941794
134	0.3835485963
135	0.3825582648
136	0.381677958
137	0.380758533
138	0.3800065267
139	0.3795197099
140	0.3778288968
141	0.3771065874
142	0.3765666874
143	0.3755649621
144	0.3746963464
145	0.3734879151
146	0.3725661377
147	0.3720728682
148	0.3716162827
149	0.3710017282
150	0.3694844392
151	0.3689043078
152	0.3670478149
153	0.3660921795
154	0.3652731536
155	0.3645677236
156	0.3634330836
157	0.3624276539
158	0.3615043456
159	0.3609407243
160	0.3599402848
161	0.3588120775
162	0.3579077674
163	0.3568664021
164	0.3564144293
165	0.3557183027
166	0.3549586823
167	0.3545223198
168	0.3537771109
169	0.3527921499
170	0.3522347572
171	0.3515132008
172	0.3503121649
173	0.3499034352
174	0.3493034158
175	0.3480742614
176	0.3476492769
177	0.3467225943
178	0.3459130099
179	0.3455106899
180	0.3449172765
181	0.3446287111
182	0.3441498979
183	0.3436999759
184	0.3430528261
185	0.3425781039
186	0.342100049
187	0.340619933
188	0.3401096303
189	0.3395727063
190	0.3389117567
191	0.3383508025
192	0.3379123333
193	0.3373681134
194	0.336364101
195	0.3354706959
196	0.3350490424
197	0.3342687337
198	0.3336803711
199	0.3331930932
200	0.3326612036
201	0.3321197409
202	0.3315806024
203	0.3306429629
204	0.3298128826
205	0.3287405048
206	0.3281475179
207	0.3275073317
208	0.3268145746
209	0.3259022437
210	0.3252902337
211	0.3245895333
212	0.3237433897
213	0.3233441481
214	0.3226429826
215	0.322006338
216	0.3213888003
217	0.3208930801
218	0.3203731557
219	0.3194388458
220	0.3187481687
221	0.3183330037
222	0.317845522
223	0.3168534733
224	0.3163265627
225	0.3159223241
226	0.3151943462
227	0.3146609279
228	0.3137922664
229	0.3134114415
230	0.3130207072
231	0.3126422613
232	0.3119758343
233	0.310939664
234	0.3098161651
235	0.3094045085
236	0.3087507086
237	0.3079560089
238	0.3075672737
239	0.3070577885
240	0.3062543415
241	0.3056821911
242	0.3050765327
243	0.3044587314
244	0.3036986161
245	0.3031578382
246	0.3028019568
247	0.3024125345
248	0.3017981897
249	0.3012889504
250	0.2997262615
251	0.2991254802
252	0.2986694069
253	0.2980148012
254	0.2972973927
255	0.2969822659
256	0.296361941
257	0.2959643354
258	0.2956386716
259	0.2950526471
260	0.2944443697
261	0.2933384767
262	0.2928330428
263	0.292320926
264	0.2915811825
265	0.2911090654
266	0.2908197071
267	0.2903486818
268	0.2897075941
269	0.2892794362
270	0.2888108793
271	0.2884736124
272	0.2876164908
273	0.2871868413
274	0.286793375
275	0.2862769311
276	0.285903758
277	0.2851036562
278	0.2845425621
279	0.2839490784
280	0.2836568607
281	0.2828426464
282	0.2821455429
283	0.2817845624
284	0.2808408734
285	0.2804289512
286	0.2798391858
287	0.2793714323
288	0.2786884174
289	0.2778884609
290	0.2773193039
291	0.2768945512
292	0.27643314
293	0.2759453245
294	0.2754822722
295	0.2748852565
296	0.2744725607
297	0.2738927563
298	0.2735000701
299	0.272652913
300	0.2723213496
301	0.2716192469
302	0.271056647
303	0.2705464171
304	0.2701625385
305	0.2696235861
306	0.2693638307
307	0.2688853615
308	0.2684443415
309	0.2680000043
310	0.2675175235
311	0.2668359435
312	0.2663823087
313	0.2658144171
314	0.2647136909
315	0.2641799658
316	0.2633748491
317	0.2628549662
318	0.2624736706
319	0.2617259868
320	0.2613449393
321	0.2609860047
322	0.2605038673
323	0.2601296606
324	0.2596340715
325	0.2592551744
326	0.258700563
327	0.2583647848
328	0.2578635855
329	0.2574875672
330	0.2569255374
331	0.2562711939
332	0.2559501905
