iter	Passed	Remaining
0	11	11547
1	33	16794
2	51	16991
3	70	17659
4	83	16582
5	95	15878
6	108	15443
7	121	15019
8	130	14404
9	140	13917
10	150	13506
11	159	13159
12	169	12853
13	178	12595
14	188	12381
15	199	12291
16	211	12211
17	222	12140
18	233	12032
19	242	11900
20	259	12116
21	272	12094
22	284	12094
23	296	12067
24	308	12012
25	318	11918
26	328	11837
27	338	11757
28	350	11750
29	360	11668
30	370	11591
31	380	11511
32	390	11440
33	402	11435
34	415	11443
35	426	11423
36	441	11494
37	454	11502
38	466	11486
39	477	11467
40	491	11487
41	501	11437
42	511	11383
43	521	11330
44	531	11279
45	541	11233
46	551	11185
47	563	11168
48	573	11136
49	583	11085
50	593	11040
51	607	11083
52	619	11072
53	631	11070
54	645	11088
55	658	11102
56	670	11092
57	681	11076
58	692	11042
59	702	11009
60	713	10988
61	727	11002
62	739	11000
63	750	10981
64	763	10979
65	775	10974
66	785	10936
67	795	10900
68	807	10889
69	820	10903
70	831	10885
71	842	10857
72	852	10822
73	862	10789
74	872	10755
75	882	10723
76	892	10694
77	902	10662
78	912	10632
79	922	10604
80	932	10581
81	942	10556
82	953	10530
83	962	10498
84	972	10472
85	982	10441
86	992	10413
87	1001	10382
88	1013	10376
89	1024	10363
90	1036	10349
91	1046	10326
92	1056	10302
93	1066	10275
94	1075	10248
95	1085	10220
96	1095	10202
97	1106	10181
98	1116	10160
99	1126	10136
100	1135	10110
101	1145	10085
102	1155	10061
103	1165	10037
104	1174	10014
105	1184	9993
106	1194	9971
107	1204	9949
108	1216	9947
109	1229	9944
110	1241	9939
111	1251	9920
112	1263	9915
113	1274	9902
114	1287	9911
115	1297	9890
116	1307	9869
117	1318	9857
118	1332	9861
119	1342	9848
120	1352	9827
121	1363	9809
122	1373	9791
123	1383	9773
124	1393	9754
125	1403	9736
126	1413	9715
127	1426	9718
128	1438	9712
129	1449	9702
130	1460	9685
131	1469	9665
132	1479	9645
133	1489	9625
134	1498	9604
135	1508	9584
136	1518	9565
137	1528	9546
138	1538	9528
139	1547	9508
140	1558	9493
141	1566	9466
142	1576	9447
143	1586	9430
144	1596	9412
145	1606	9394
146	1615	9376
147	1626	9364
148	1638	9357
149	1649	9349
150	1661	9339
151	1671	9323
152	1681	9309
153	1691	9293
154	1701	9276
155	1711	9259
156	1721	9242
157	1731	9226
158	1741	9212
159	1751	9195
160	1761	9178
161	1774	9180
162	1786	9173
163	1800	9178
164	1810	9161
165	1820	9146
166	1833	9143
167	1844	9135
168	1856	9127
169	1866	9110
170	1876	9099
171	1887	9084
172	1898	9073
173	1912	9080
174	1924	9072
175	1936	9064
176	1946	9050
177	1958	9046
178	1973	9049
179	1983	9034
180	1993	9019
181	2002	8998
182	2011	8982
183	2023	8975
184	2036	8971
185	2048	8963
186	2061	8960
187	2077	8974
188	2090	8972
189	2104	8971
190	2115	8958
191	2125	8944
192	2135	8928
193	2145	8913
194	2155	8897
195	2165	8882
196	2174	8865
197	2185	8850
198	2195	8835
199	2204	8819
200	2214	8804
201	2224	8789
202	2235	8777
203	2247	8770
204	2259	8761
205	2271	8753
206	2280	8738
207	2292	8727
208	2303	8719
209	2314	8705
210	2324	8691
211	2334	8677
212	2344	8662
213	2354	8646
214	2364	8631
215	2374	8617
216	2384	8603
217	2394	8588
218	2404	8573
219	2414	8559
220	2424	8545
221	2434	8532
222	2450	8539
223	2462	8530
224	2473	8519
225	2483	8504
226	2492	8488
227	2503	8476
228	2513	8461
229	2523	8448
230	2533	8432
231	2542	8417
232	2552	8403
233	2570	8416
234	2583	8409
235	2593	8395
236	2603	8382
237	2613	8368
238	2624	8355
239	2635	8346
240	2647	8338
241	2659	8330
242	2670	8319
243	2680	8305
244	2690	8292
245	2700	8278
246	2710	8264
247	2720	8250
248	2730	8236
249	2740	8222
250	2751	8209
251	2761	8196
252	2771	8181
253	2781	8168
254	2791	8154
255	2800	8139
256	2811	8129
257	2822	8116
258	2831	8102
259	2844	8094
260	2856	8086
261	2867	8076
262	2877	8062
263	2888	8053
264	2898	8040
265	2908	8025
266	2918	8011
267	2928	7998
268	2938	7985
269	2948	7972
270	2958	7957
271	2968	7944
272	2978	7931
273	2988	7917
274	2998	7904
275	3008	7891
276	3017	7877
277	3027	7864
278	3038	7852
279	3050	7845
280	3062	7836
281	3074	7827
282	3084	7815
283	3096	7806
284	3110	7803
285	3121	7793
286	3135	7788
287	3144	7774
288	3155	7762
289	3165	7749
290	3175	7737
291	3185	7723
